timestamp_ms,frame_id,is_valid,lateral_deviation,yaw_angle,curvature_0,curvature_1,curvature_2,curvature_3,velocity,prev_steering,expert_steering,servo_command,lane_width_px
1775442884586,0,1,-0.0095803,-0.0509636,0.0110576,0.0110571,0.0110566,0.0110561,0.04,0,2.04074,100,351.328
1775442885185,1,1,-0.0095803,-0.0509636,0.0110576,0.0110571,0.0110566,0.0110561,0.04,2.04074,2.04074,100,351.328
1775442885707,2,1,-0.00947846,-0.0518527,0.0100315,0.0100311,0.0100307,0.0100303,0.04,2.04074,2.05758,100,351.176
1775442885936,3,1,-0.00947846,-0.0518527,0.0100315,0.0100311,0.0100307,0.0100303,0.04,2.05758,2.05758,100,351.135
1775442886167,4,1,-0.00943287,-0.051865,0.0105345,0.0105341,0.0105336,0.0105332,0.04,2.05758,2.05485,100,351.027
1775442886434,5,1,-0.00943287,-0.051865,0.0105345,0.0105341,0.0105336,0.0105332,0.04,2.05485,2.05485,100,351.114
1775442886676,6,1,-0.00943287,-0.051865,0.0105345,0.0105341,0.0105336,0.0105332,0.04,2.05485,2.05485,100,350.97
1775442886912,7,1,-0.00949519,-0.0515474,0.012655,0.0126543,0.0126537,0.012653,0.04,2.05485,2.0509,100,351.149
1775442887118,8,1,-0.00940579,-0.0522008,0.00944806,0.0094477,0.00944733,0.00944696,0.04,2.0509,2.06188,100,351.045
1775442887359,9,1,-0.00960327,-0.0510136,0.0163039,0.0163029,0.0163018,0.0163007,0.04,2.06188,2.04451,100,351.21
1775442887682,10,1,-0.00940579,-0.0522008,0.00944806,0.0094477,0.00944733,0.00944696,0.04,2.04451,2.06188,100,350.949
1775442887877,11,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.06188,2.05404,100,350.954
1775442888022,12,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.05404,2.06692,100,350.919
1775442888154,13,1,-0.00925907,-0.0526661,0.00851725,0.00851695,0.00851665,0.00851635,0.04,2.06692,2.06419,100,350.944
1775442888282,14,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.06419,2.06692,100,350.983
1775442888394,15,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.06692,2.06692,100,350.977
1775442888530,16,1,-0.00951386,-0.051667,0.0130964,0.0130957,0.013095,0.0130943,0.04,2.06692,2.0555,100,351.015
1775442888651,17,1,-0.00940579,-0.0522008,0.00944806,0.0094477,0.00944733,0.00944696,0.04,2.0555,2.06188,100,351.05
1775442888776,18,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.06188,2.06692,100,350.928
1775442888918,19,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.06692,2.06692,100,351.027
1775442889090,20,1,-0.00951386,-0.051667,0.0130964,0.0130957,0.013095,0.0130943,0.04,2.06692,2.0555,100,350.991
1775442889287,21,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.0555,2.06692,100,350.929
1775442889444,22,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.06692,2.06692,100,350.915
1775442889618,23,1,-0.00936024,-0.0522132,0.00995105,0.00995065,0.00995024,0.00994983,0.04,2.06692,2.05916,100,351.021
1775442889753,24,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.05916,2.06692,100,350.894
1775442889911,25,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.06692,2.06692,100,350.876
1775442890040,26,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.06692,2.05405,100,351.109
1775442890172,27,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.05405,2.05404,100,350.999
1775442890308,28,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.05404,2.05404,100,351.08
1775442890425,29,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.05404,2.06692,100,350.874
1775442890551,30,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.06692,2.05405,100,350.924
1775442890674,31,1,-0.00940882,-0.0521173,0.0123154,0.0123148,0.0123142,0.0123136,0.04,2.05405,2.06029,100,350.852
1775442890800,32,1,-0.00938148,-0.0525343,0.00989894,0.00989854,0.00989813,0.00989773,0.04,2.06029,2.06929,100,350.862
1775442890932,33,1,-0.00948312,-0.0515812,0.0147324,0.0147315,0.0147307,0.0147298,0.04,2.06929,2.05131,100,350.865
1775442891054,34,1,-0.00930447,-0.0526542,0.00801336,0.0080131,0.00801283,0.00801256,0.04,2.05131,2.06692,100,350.983
1775442891202,35,1,-0.00948312,-0.0515812,0.0147324,0.0147315,0.0147307,0.0147298,0.04,2.06692,2.05131,100,350.841
1775442891350,36,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.05131,2.05404,100,350.895
1775442891468,37,1,-0.0095287,-0.0515688,0.0142294,0.0142286,0.0142277,0.0142269,0.04,2.05404,2.05404,100,350.935
1775442891593,38,1,-0.00950135,-0.0519858,0.0118126,0.011812,0.0118114,0.0118108,0.04,2.05404,2.06304,100,351.357
1775442891710,39,1,-0.00940388,-0.052206,0.0115535,0.011553,0.0115524,0.0115519,0.04,2.06304,2.06223,100,350.912
1775442891843,40,1,-0.00919469,-0.0531927,0.00647207,0.0064719,0.00647172,0.00647154,0.04,2.06223,2.07365,100,350.934
1775442891969,41,1,-0.0210162,-0.0513539,0.0103668,0.0103664,0.010366,0.0103655,0.04,2.07365,2.84058,101,351.663
1775442892082,42,1,-0.00479208,-0.0524879,0.0110416,0.0110411,0.0110406,0.0110401,0.04,2.84058,1.75143,99,348.799
1775442892219,43,1,-0.000696814,-0.0502319,0.0291233,0.0291199,0.0291165,0.0291131,0.04,1.75143,1.41062,99,347.052
1775442892345,44,1,-0.000553809,-0.045928,0.0404008,0.0403949,0.0403888,0.0403826,0.04,1.41062,1.28622,99,346.682
1775442892486,45,1,0.000291471,-0.0475558,0.0370989,0.0370937,0.0370884,0.037083,0.04,1.28622,1.27132,99,346.618
1775442892622,46,1,-7.27191e-05,-0.0395202,0.065973,0.0659593,0.065945,0.0659301,0.04,1.27132,1.08386,98,346.376
1775442892748,47,1,0.00131932,-0.0393409,0.0634461,0.0634335,0.0634203,0.0634066,0.04,1.08386,0.982481,98,345.333
1775442892884,48,1,-0.00021615,-0.0377012,0.0768333,0.0768154,0.0767967,0.076777,0.04,0.982481,1.04627,98,346.102
1775442893031,49,1,-0.0147172,-0.0468358,0.00978505,0.0097847,0.00978434,0.00978399,0.04,1.04627,2.28354,100,351.569
1775442893162,50,1,-0.0184382,-0.0520873,0.00765306,0.00765282,0.00765258,0.00765234,0.04,2.28354,2.68202,100,351.572
1775442893281,51,1,-0.0163097,-0.0496062,0.0182782,0.0182769,0.0182756,0.0182743,0.04,2.68202,2.46976,100,350.679
1775442893434,52,1,-0.0148026,-0.0497283,0.0240944,0.0240921,0.0240898,0.0240875,0.04,2.46976,2.36992,100,350.655
1775442893558,53,1,-0.0140059,-0.0461292,0.034853,0.0348486,0.0348441,0.0348395,0.04,2.36992,2.21935,100,351.132
1775442893741,54,1,-0.0141827,-0.0452895,0.0392936,0.0392881,0.0392825,0.0392767,0.04,2.21935,2.20953,100,350.878
1775442893879,55,1,-0.015268,-0.0416442,0.0514013,0.0513926,0.0513836,0.0513743,0.04,2.20953,2.18783,100,350.952
1775442894010,56,1,-0.0194181,-0.0406455,0.054943,0.0549333,0.0549232,0.0549127,0.04,2.18783,2.4478,100,351.4
1775442894152,57,1,-0.0168185,-0.0377518,0.0552492,0.05524,0.0552305,0.0552207,0.04,2.4478,2.19029,100,352.177
1775442894316,58,1,-0.0172158,-0.0334619,0.0732928,0.0732783,0.0732631,0.0732471,0.04,2.19029,2.10458,100,352.499
1775442894438,59,1,-0.0166488,-0.0353832,0.0610578,0.0610473,0.0610363,0.0610249,0.04,2.10458,2.11541,100,353.071
1775442894568,60,1,-0.0170502,-0.0328136,0.0749979,0.0749831,0.0749674,0.0749509,0.04,2.11541,2.07588,100,352.906
1775442894678,61,1,-0.0175711,-0.0298151,0.0917903,0.0917699,0.091748,0.0917244,0.04,2.07588,2.03344,100,352.907
1775442894812,62,1,-0.0168674,-0.0306257,0.086731,0.0867124,0.0866924,0.0866711,0.04,2.03344,2.00597,99,352.543
1775442894939,63,1,-0.0168534,-0.0303836,0.0852811,0.0852632,0.085244,0.0852237,0.04,2.00597,1.99823,99,352.662
1775442895057,64,1,-0.0172106,-0.0278986,0.096859,0.0968376,0.0968144,0.0967894,0.04,1.99823,1.95755,99,352.895
1775442895189,65,1,-0.016601,-0.0300928,0.0882524,0.0882334,0.088213,0.0881913,0.04,1.95755,1.97341,99,353.139
1775442895353,66,1,-0.0165793,-0.0298505,0.0891127,0.0890934,0.0890728,0.0890507,0.04,1.97341,1.96551,99,353.536
1775442895479,67,1,-0.0158438,-0.032557,0.0748734,0.0748588,0.0748433,0.0748269,0.04,1.96551,1.98564,99,353.706
1775442895587,68,1,-0.0155543,-0.0334372,0.0728829,0.0728687,0.0728536,0.0728378,0.04,1.98564,1.98913,99,353.562
1775442895700,69,1,-0.0155394,-0.0328918,0.0734332,0.073419,0.0734039,0.0733881,0.04,1.98913,1.97345,99,353.441
1775442895822,70,1,-0.0154562,-0.0328464,0.0712429,0.0712295,0.0712154,0.0712006,0.04,1.97345,1.96613,99,353.463
1775442895940,71,1,-0.0146825,-0.0373191,0.0508756,0.0508679,0.05086,0.0508518,0.04,1.96613,2.03039,100,353.323
1775442896049,72,1,-0.0140499,-0.0385502,0.040344,0.0403391,0.040334,0.0403287,0.04,2.03039,2.01835,99,353.3
1775442896166,73,1,-0.013948,-0.0375242,0.0457935,0.0457872,0.0457808,0.0457742,0.04,2.01835,1.98445,99,352.964
1775442896290,74,1,-0.0129573,-0.0412433,0.0263307,0.0263285,0.0263262,0.0263239,0.04,1.98445,2.0135,99,352.946
1775442896414,75,1,-0.0123257,-0.0436586,0.0118646,0.0118641,0.0118636,0.0118631,0.04,2.0135,2.0329,100,352.813
1775442896536,76,1,-0.0116549,-0.0455241,0.00335984,0.0033598,0.00335976,0.00335972,0.04,2.0329,2.03568,100,352.883
1775442896645,77,1,-0.010931,-0.0467425,0.0110503,0.0110507,0.0110512,0.0110516,0.04,2.03568,2.01987,99,353.063
1775442896765,78,1,-0.0105239,-0.0477596,0.0193358,0.0193371,0.0193385,0.0193399,0.04,2.01987,2.02058,99,353.439
1775442896891,79,1,-0.00996816,-0.0495115,0.027499,0.0275019,0.0275048,0.0275076,0.04,2.02058,2.03087,100,353.621
1775442897013,80,1,-0.0101065,-0.048753,0.0297603,0.0297637,0.029767,0.0297702,0.04,2.03087,2.02028,99,353.496
1775442897134,81,1,-0.0097304,-0.0505815,0.0369039,0.0369092,0.0369145,0.0369196,0.04,2.02028,2.04487,100,352.894
1775442897257,82,1,-0.0101629,-0.0479947,0.0283666,0.0283696,0.0283725,0.0283754,0.04,2.04487,2.00346,99,353.052
1775442897408,83,1,-0.0096315,-0.0482532,0.0348987,0.0349032,0.0349077,0.034912,0.04,2.00346,1.9748,99,352.486
1775442897552,84,1,-0.00977307,-0.0465785,0.0333726,0.0333766,0.0333806,0.0333845,0.04,1.9748,1.93906,99,352.387
1775442897682,85,1,-0.0101949,-0.0445428,0.0284835,0.0284863,0.028489,0.0284917,0.04,1.93906,1.91237,99,352.42
1775442897789,86,1,-0.010419,-0.0423193,0.0246223,0.0246243,0.0246263,0.0246282,0.04,1.91237,1.86712,99,352.538
1775442897919,87,1,-0.0106024,-0.0413082,0.0212837,0.0212852,0.0212866,0.021288,0.04,1.86712,1.85191,99,352.441
1775442898041,88,1,-0.0107995,-0.038412,0.0110716,0.011072,0.0110723,0.0110727,0.04,1.85191,1.78561,99,352.371
1775442898167,89,1,-0.0113513,-0.0353347,0.0006452,0.000645201,0.000645202,0.000645203,0.04,1.78561,1.73886,99,352.325
1775442898286,90,1,-0.0119778,-0.0318556,0.0108531,0.0108528,0.0108525,0.0108522,0.04,1.73886,1.68967,99,352.423
1775442898416,91,1,-0.0124927,-0.0297704,0.0212861,0.021285,0.021284,0.0212829,0.04,1.68967,1.6705,99,352.122
1775442898569,92,1,-0.0129969,-0.0255706,0.0357023,0.0356997,0.035697,0.0356942,0.04,1.6705,1.59407,99,352.43
1775442898702,93,1,-0.013567,-0.0212359,0.0534992,0.0534943,0.0534891,0.0534836,0.04,1.59407,1.51907,99,352.953
1775442898843,94,1,-0.0141518,-0.0177145,0.068607,0.0686002,0.0685927,0.0685846,0.04,1.51907,1.46663,99,353.424
1775442898955,95,1,-0.0141291,-0.0164455,0.0718334,0.0718265,0.0718187,0.0718102,0.04,1.46663,1.43127,99,353.713
1775442899083,96,1,-0.015083,-0.0105113,0.0980175,0.0980086,0.0979979,0.0979853,0.04,1.43127,1.34086,99,354.189
1775442899231,97,1,-0.0151489,-0.00851767,0.102544,0.102536,0.102526,0.102514,0.04,1.34086,1.29223,99,354.915
1775442899352,98,1,-0.0146303,-0.0088156,0.10268,0.102672,0.102661,0.102648,0.04,1.29223,1.2645,98,355.208
1775442899518,99,1,-0.0147339,-0.00612956,0.115296,0.115289,0.115278,0.115263,0.04,1.2645,1.20105,98,355.751
1775442899650,100,1,-0.0146909,-0.00437626,0.126533,0.126526,0.126514,0.126498,0.04,1.20105,1.15246,98,356.119
1775442899770,101,1,-0.0137001,-0.00619312,0.119752,0.119743,0.119731,0.119715,0.04,1.15246,1.13211,98,356.517
1775442899901,102,1,-0.0135554,-0.00509507,0.124365,0.124357,0.124345,0.124329,0.04,1.13211,1.09317,98,356.431
1775442900036,103,1,-0.0130687,-0.00536269,0.122934,0.122926,0.122914,0.122898,0.04,1.09317,1.06658,98,356.573
