timestamp_ms,frame_id,is_valid,lateral_deviation,yaw_angle,curvature_0,curvature_1,curvature_2,curvature_3,velocity,prev_steering,expert_steering,servo_command,lane_width_px
1775441650795,40,1,-0.00759806,-0.0617592,0.0166696,0.0166682,0.0166669,0.0166655,0.04,2.18734,2.19663,100,352.933
1775441650909,41,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.19663,2.18734,100,352.832
1775441651033,42,1,-0.00779586,-0.0606519,0.0211367,0.0211346,0.0211324,0.0211303,0.04,2.18734,2.18107,100,352.79
1775441651171,43,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18107,2.18734,100,352.796
1775441651304,44,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18734,2.18734,100,352.778
1775441651444,45,1,-0.00772522,-0.0611359,0.0180934,0.0180919,0.0180903,0.0180887,0.04,2.18734,2.18879,100,352.782
1775441651569,46,1,-0.00763678,-0.0615733,0.0154399,0.0154388,0.0154376,0.0154364,0.04,2.18879,2.19409,100,352.761
1775441651683,47,1,-0.00779586,-0.0606519,0.0211367,0.0211346,0.0211324,0.0211303,0.04,2.19409,2.18107,100,352.758
1775441651833,48,1,-0.00772522,-0.0611359,0.0180934,0.0180919,0.0180903,0.0180887,0.04,2.18107,2.18879,100,352.669
1775441651961,49,1,-0.00772522,-0.0611359,0.0180934,0.0180919,0.0180903,0.0180887,0.04,2.18879,2.18879,100,352.887
1775441652088,50,1,-0.00772522,-0.0611359,0.0180934,0.0180919,0.0180903,0.0180887,0.04,2.18879,2.18879,100,352.769
1775441652213,51,1,-0.00772522,-0.0611359,0.0180934,0.0180919,0.0180903,0.0180887,0.04,2.18879,2.18879,100,352.766
1775441652355,52,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18879,2.18734,100,352.727
1775441652466,53,1,-0.00774003,-0.0610378,0.0192246,0.0192229,0.0192211,0.0192193,0.04,2.18734,2.18734,100,352.786
